route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
01260426-MI,20260424,20260424-MI-2722,MI - Union Station GO,,1,40A,MLUN,1,2,
01260426-LE,20260424,20260424-LE-9019,LE - Union Station GO,,1,25A,OSUN,1,1,
01260426-LW,20260424,20260424-LW-1731,LW - West Harbour GO,,0,17A,UNWR,1,1,
01260426-GT,20260424,20260424-GT-3531,KI - Mount Pleasant GO,,0,26P,UNMO,1,1,
01260426-LE,20260424,20260424-LE-9128,LE - Durham College Oshawa GO,,0,16A,UNOS,1,2,
01260426-GT,20260424,20260424-GT-3806,KI - Union Station GO,,1,56A,KIUN,1,2,
01260426-GT,20260424,20260424-GT-3858,KI - Union Station GO,,1,58A,KIUN,1,2,
01260426-GT,20260424,20260424-GT-3935,KI - Kitchener GO,,0,56P,UNKI,1,1,
01260426-ST,20260424,20260424-ST-7707,ST - Union Station GO,,1,48A,LIUN,1,2,
01260426-LE,20260424,20260424-LE-9021,LE - Union Station GO,,1,17A,OSUN,1,1,
01260426-LE,20260424,20260424-LE-9233,LE - Union Station GO,,1,16A,OSUN,1,1,
01260426-GT,20260424,20260424-GT-3514,KI - Union Station GO,,1,09A,MOUN,1,1,
01260426-BR,20260424,20260424-BR-6606,BR - Union Station GO,,1,65A,ADUN,1,2,
01260426-ST,20260424,20260424-ST-7420,ST - Mount Joy GO,,0,03A,UNMJ,1,1,
01260426-RH,20260424,20260424-RH-5208,RH - Union Station GO,,1,45A,BMUN,1,2,
01260426-LW,20260424,20260424-LW-1028,LW - Union Station GO,,1,16A,ALUN,1,1,
01260426-LW,20260424,20260424-LW-1709,LW - West Harbour GO,,0,17A,UNWR,1,1,
01260426-ST,20260424,20260424-ST-7709,ST - Union Station GO,,1,50A,LIUN,1,2,
01260426-ST,20260424,20260424-ST-7423,ST - Union Station GO,,1,70A,MJUN,1,1,
01260426-BR,20260424,20260424-BR-6927,BR - Allandale Waterfront GO,,0,46P,UNAD,1,2,
01260426-MI,20260424,20260424-MI-2726,MI - Union Station GO,,1,42A,MLUN,1,1,
01260426-ST,20260424,20260424-ST-7824,ST - Old Elm GO,,0,54A,UNLI,1,2,
01260426-GT,20260424,20260424-GT-3860,KI - Union Station GO,,1,62A,KIUN,1,2,
01260426-LE,20260424,20260424-LE-9310,LE - Durham College Oshawa GO,,0,22A,UNOS,1,1,
01260426-GT,20260424,20260424-GT-3209,KI - Bramalea GO,,0,01A,UNBE,1,1,
01260426-RH,20260424,20260424-RH-5329,RH - Bloomington GO,,0,47P,UNBM,1,1,
01260426-LE,20260424,20260424-LE-9707,LE - Union Station GO,,1,27A,WHUN,1,2,
01260426-ST,20260424,20260424-ST-7222,ST - Unionville GO,,0,27P,UNUI,1,2,
01260426-LE,20260424,20260424-LE-9004,LE - Durham College Oshawa GO,,0,01A,UNOS,1,1,
